qz	intensity_normalized	e_intensity_normalized
0.01799835076919322	0.9961833162937302	0.10240238187193379
0.018627705817044826	1.00381668370627	0.10317630503281157
0.01925336989139438	1.0105974609490642	0.10387262112945285
0.019869914336452354	1.018020872257988	0.10461938649357966
0.02049871024942203	1.0253157252503822	0.10537112726643297
0.02112858140371802	1.0147350189460884	0.10428117221768908
0.02175634202315411	0.9539989111418722	0.09814070177475978
0.022383499184834395	0.6285649331613112	0.0650774474549675
0.023007333211031097	0.4271481174663094	0.044538992753944
0.023634579948201166	0.31159225852148653	0.03273580222928771
0.024262018773070132	0.24548907872620923	0.02593443770728944
0.024887953171819844	0.18932853398147317	0.020163885057931524
0.02551739845427404	0.15331397913053413	0.01644007265311502
0.02601506821033844	0.12028920844938455	0.012323005613350336
0.026148430406436753	0.12523845722041188	0.013536311238967685
0.026768008616864822	0.10460284084730076	0.011371042721576586
0.027398288772128614	0.08876223552652691	0.009724851587544176
0.027915851113719633	0.07780647156231563	0.00800978435269338
0.028024502801657726	0.07511465912758966	0.008291401592329321
0.029827641254464497	0.04927677649480219	0.005108877403675509
0.03173866118241989	0.03316948104425647	0.0034664758671798875
0.03364823151956493	0.024117551893266528	0.002538345722440355
0.03554829393594087	0.01759480896618156	0.001868636767085402
0.03745148237478184	0.013339375720208787	0.001428436710565151
0.03935095797754599	0.010420288603523502	0.001127725963124846
0.04125575962570331	0.00827838463050659	0.000903047723006628
0.04304835984527756	0.007412721525677517	0.000763363365826464
0.04315072122214826	0.006757159541266953	0.0007445575244619911
0.04504922709945691	0.00554590025448843	0.0006162000007942241
0.04532344292001865	0.00597611848472054	0.0006166253804305737
0.04760717468082401	0.004770024554680534	0.0004939867204976215
0.049898783852966845	0.0038465833165370997	0.00039985517269735074
0.05219117064190546	0.003142103565465525	0.000327964160253985
0.054498267656028866	0.002595245952126795	0.0002720492314840299
0.05679569794751011	0.0021768246131807162	0.00022925648616965643
0.059075909898311296	0.0018457456373437403	0.00019517926595398718
0.06137978513631699	0.001549003331031869	0.0001647074357617141
0.06364927968464879	0.0013402563098448466	0.00014309166508554705
0.06594515171351165	0.001140806412576806	0.00012252518751796249
0.06823661451208143	0.0009913491431555337	0.0001069541779395429
0.07009433472317947	0.0009057905587912823	9.291187052119042e-05
0.07051901445272517	0.0008505004021287753	9.224350906798887e-05
0.07280811435314652	0.0007374151183439597	8.050074206982425e-05
0.07358591876869348	0.0007574066275785509	7.780424219689954e-05
0.0751043834021879	0.0006513505413846793	7.144523706034311e-05
0.07708361666278113	0.0006182212582605081	6.368536039401259e-05
0.08058362193218362	0.000512962016924829	5.300345764488823e-05
0.084093636961442	0.0004254977561533254	4.410638590214151e-05
0.08759767447396664	0.000358460141516083	3.72698345222554e-05
0.09111710510332431	0.0003037219378446707	3.16938026980763e-05
0.09464191048517642	0.0002604285175452873	2.726421397796866e-05
0.09814421845922915	0.000224116087070141	2.354500879731194e-05
0.10165446608578858	0.0001890731220387758	1.994570484906832e-05
0.10515479723063173	0.0001656441755845666	1.7533091238219165e-05
